IDNUM;OTEXE;NREG;ZENVI;SUTOT;CHAFF;PRODV;PRODH;PRODT;PRODA;RESEX;CHRAM;CHRSE;CHRPH;CHRAC;CHRAG;CHRPV;CHRCA;ELECTQUA;ENTBT;ENTMT;LFERM;LMATE;ASSRE;ASSAU;TVANR;TXPRO;TAXES;AIMTX;FPERS;CHSOC;CFINL;CAGR4
7823;15;76;0;16;208952;13304;0;400;195648;73930;0;2115;2396;0;586;0;2180;29865;2590;2909;1539;2226;0;11129;0;126;24;753;9274;1416;193;521
7829;83;76;0;17;575939.24;11476.8;0;745114.06;0;441774.15;11817.9;1787.16;20194.8;0;0;0;7398.8;17205;0;5205.32;63583.9;1057.64;0;8408.34;0;1905.09;0;1021;52966.43;7616.17;3820.75;92.84
7835;46;76;0;15;307768;160524;0;710;-737;68252;0;13902;21143;21052;0;1012;13677;32325;0;4268;23742;857;0;9452;0;2285;0;2051;0;0;1399;2
7846;48;76;0;13;271647.75;116398.87;155518.88;0;0;73759.03;0;22490.88;19460.83;0;0;0;7840.2;11422;0;4921.48;10921.34;0;5868.09;5564.74;0;462.48;0;1043.9;45242.12;3530.14;1560.29;119.24
7848;15;76;0;9;318282;70547;0;-50;45415;65871;0;6612;14250;21723;0;12130;10077;32845;1730;11474;17817;3055;4569;10038;0;1037;927;795;29436;3808;1685;0
7856;15;76;0;15;179260;-2840;0;-250;15452;82579;0;2128;39;30095;792;4925;4246;39345;2974;8113;10124;0;0;6638;0;423;0;683;1679;443;3024;703
8030;46;76;1;10;112651.02;3292.86;0;200;74654.61;30324.5;0;4010.07;2740.7;6870.1;13387.91;4576.84;7913.83;5630;0;10494.78;26993.35;495;0;6495.28;0;418.5;0;876.94;0;0;501;360.53
8036;39;76;0;7;286292.74;34058.04;0;-320;121713.98;77475.76;2116.72;16143.15;8238.7;43335.23;2082.96;6656.55;7617.73;44507;440;17301.93;20855.02;358.93;1201.49;8641.14;0;1467.61;182;1184.59;9906.2;859.79;6695.38;3206.65
8037;39;76;0;4;250159.15;104994.06;0;3720;20700.19;50168.59;0;10549.68;28416.54;21702.97;3171;6186.96;12497.45;28860;132.91;19057.52;26779.38;5937.87;2130.37;11191.57;0;1995.65;361;1008.1;11159.92;868.24;5981.26;850.98
8091;46;76;0;26;366470.23;7389.23;0;630;30209;141362.28;0;10643;1;55205;7467;0;6732;36497;7563;32809;19263;9451;0;10359;0;0;55;917;0;0;3509;0
8094;50;76;0;11;567840;11710;0;0;12609;251036;0;300;0;74062;880;0;4790;95787;5125;10727;32977;14798;0;12038;0;1416;82;2360;6870;1551;3912;0
8096;84;76;0;16;165654;9517;0;2160;17293;74849.51;0;2994;3805;28647;0;1333;7146;51837;484;6182;12085;5281;0;11685;0;509;0;624;0;0;1549;0
8097;15;76;0;8;148839;143648;0;5256;0;26515;8427;29353;37152;0;0;0;7153;5050;0;3671;29710;0;22677;6936;0;1337;0;800;0;0;4684;9032
8098;46;76;0;14;215531.27;20417.11;0;-352;14279.29;65959.28;0;6835.35;4993.2;41517.76;0;1118.22;4691.13;20861;0;9750.74;7726.42;236.15;515.75;4268.84;0;659.75;25;502;0;0;3507.93;0
8099;61;76;0;16;349509.17;63174.94;275758.89;0;0;96547.91;0;51621.97;23890.06;0;0;0;9677.03;97092.6;2234;24312;8654;0;2506;5564;0;902;0;871;25612;2549;842;517
8100;46;76;0;17;44966;0;0;163829;0;691;0;8620;10061;0;0;0;2272;15807;808;9141;27790;511;3083;3461;0;0;0;972;39253;6940;586;352
8101;45;76;1;11;149282;134943;0;0;0;-28326;0;5953;24469;0;0;0;9927;9308;225;17516;24694;0;933;2696;0;1340;615;592;8819;1523;420;2398
8153;48;76;0;18;236630;181500;0;0;0;43067;0;44047;28533;0;0;0;4709;46516;0;3699;25607;193;2095;2438;0;2277;0;0;0;55;1262;1115
8154;50;76;0;1;216916.54;234936.73;0;0;0;57235.4;0;30398.54;16708.7;0;0;0;14727.82;78710;2768.15;13183.66;31024.95;0;3558.26;8824.6;0;1571.6;0;0;926.77;37.55;3998.14;1823.21
8165;37;76;0;11;736501;175554;0;305;88655;218849;10418;21153;23938;129889;24020;57166;37630;237870;19633;65339;13715;16577;0;1751;0;2584;0;291;3227;1560;13914;619
8167;37;76;0;8;201787.66;115506.7;0;33288.17;0;60595.07;0;10103.55;17716.81;0;0;0;10397.92;13900;0;12656.2;14309.39;69.95;9547.35;8238.49;0;976.22;0;0;11694.68;738.46;530.17;81.47
